total_nacional_region,comuna_78,especie_9,total_numero_de_upa1011,total_superficie_cultivo_ha
Región del Maule,Licantén,Culén,0,0
Región del Maule,Licantén,Espino,1,35
Región del Maule,Licantén,Fuinque,0,0
Región del Maule,Licantén,Huala,0,0
Región del Maule,Licantén,Hualo,0,0
Región del Maule,Licantén,Huayún,0,0
Región del Maule,Licantén,Huella,0,0
Región del Maule,Licantén,Huingán,0,0
Región del Maule,Licantén,Laurel,0,0
Región del Maule,Licantén,Lenga,0,0
Región del Maule,Licantén,Leña Dura,0,0
Región del Maule,Licantén,Lingue,0,0
Región del Maule,Licantén,Lingue del Norte,0,0
Región del Maule,Licantén,Litre,6,70.5
Región del Maule,Licantén,Lleuque,0,0
Región del Maule,Licantén,Luma,0,0
Región del Maule,Licantén,Luma de Más Afuera,0,0
Región del Maule,Licantén,Maitén,0,0
Región del Maule,Licantén,Mañío de Hojas Cortas,0,0
Región del Maule,Licantén,Mañío de Hojas Largas,0,0
Región del Maule,Licantén,Mañío de Hojas Punzantes,0,0
Región del Maule,Licantén,Mardoño,0,0
Región del Maule,Licantén,Melí,0,0
Región del Maule,Licantén,Molle,0,0
Región del Maule,Licantén,Naranjillo,0,0
Región del Maule,Licantén,Notro,0,0
Región del Maule,Licantén,Ñirre,0,0
Región del Maule,Licantén,Olivillo,0,0
Región del Maule,Licantén,Palma Chilena,0,0
Región del Maule,Licantén,Patagua,0,0
Región del Maule,Licantén,Pelu,0,0
Región del Maule,Licantén,Peumo,1,50.64
Región del Maule,Licantén,Picha-Picha,0,0
Región del Maule,Licantén,Pimiento,0,0
Región del Maule,Licantén,Pitra,0,0
Región del Maule,Licantén,Polizón,0,0
Región del Maule,Licantén,Queñoa,0,0
Región del Maule,Licantén,Queñoa de Altura,0,0
Región del Maule,Licantén,Queule,0,0
Región del Maule,Licantén,Quillay,2,1462.330001015238
Región del Maule,Licantén,Radal,0,0
Región del Maule,Licantén,Rarán,0,0
Región del Maule,Licantén,Raulí,1,6.099832717056
Región del Maule,Licantén,Roble,11,508.652996845
Región del Maule,Licantén,Roble Blanco,0,0
Región del Maule,Licantén,Ruil,0,0
Región del Maule,Licantén,Sándalo,0,0
Región del Maule,Licantén,Sauce Amargo,0,0
Región del Maule,Licantén,Sauco,0,0
Región del Maule,Licantén,Tamarugo,0,0
Región del Maule,Licantén,Tara,0,0
Región del Maule,Licantén,Tayu,0,0
Región del Maule,Licantén,Tepa,0,0
Región del Maule,Licantén,Tiaca,0,0
Región del Maule,Licantén,Tineo,0,0
Región del Maule,Licantén,Trevo,0,0
Región del Maule,Licantén,Ulmo,0,0
Región del Maule,Molina,Total,20,9857.417119038915
Región del Maule,Molina,Sin clasificar,0,0
Región del Maule,Molina,Alerce,0,0
Región del Maule,Molina,Algarrobo,0,0
Región del Maule,Molina,Algarrobo del Norte,0,0
Región del Maule,Molina,Araucaria,1,0.1
Región del Maule,Molina,Arrayán,0,0
Región del Maule,Molina,Avellanillo,0,0
Región del Maule,Molina,Avellano,0,0
Región del Maule,Molina,Belloto del Norte,0,0
Región del Maule,Molina,Belloto del Sur,0,0
Región del Maule,Molina,Boldo,0,0
Región del Maule,Molina,Canelo,0,0
Región del Maule,Molina,Carbonillo o Carbón,0,0
Región del Maule,Molina,Chañar,0,0
Región del Maule,Molina,Ciprés de La Cordillera,0,0
Región del Maule,Molina,Ciprés de Las Guaitecas,0,0
Región del Maule,Molina,Coigüe,1,5154
Región del Maule,Molina,Coigüe de Chiloé,0,0
Región del Maule,Molina,Coigüe de Magallanes,0,0
Región del Maule,Molina,Culén,0,0
Región del Maule,Molina,Espino,4,37.214285716
Región del Maule,Molina,Fuinque,0,0
Región del Maule,Molina,Huala,0,0
Región del Maule,Molina,Hualo,2,780.06818874384
Región del Maule,Molina,Huayún,0,0
Región del Maule,Molina,Huella,0,0
Región del Maule,Molina,Huingán,0,0
Región del Maule,Molina,Laurel,0,0
Región del Maule,Molina,Lenga,0,0
Región del Maule,Molina,Leña Dura,0,0
Región del Maule,Molina,Lingue,0,0
Región del Maule,Molina,Lingue del Norte,0,0
Región del Maule,Molina,Litre,1,1480
Región del Maule,Molina,Lleuque,0,0
Región del Maule,Molina,Luma,0,0
Región del Maule,Molina,Luma de Más Afuera,0,0
Región del Maule,Molina,Maitén,1,3
Región del Maule,Molina,Mañío de Hojas Cortas,0,0
Región del Maule,Molina,Mañío de Hojas Largas,0,0
Región del Maule,Molina,Mañío de Hojas Punzantes,0,0
Región del Maule,Molina,Mardoño,0,0
Región del Maule,Molina,Melí,0,0
Región del Maule,Molina,Molle,0,0
Región del Maule,Molina,Naranjillo,0,0
Región del Maule,Molina,Notro,0,0
Región del Maule,Molina,Ñirre,0,0
Región del Maule,Molina,Olivillo,0,0
Región del Maule,Molina,Palma Chilena,0,0
Región del Maule,Molina,Patagua,0,0
Región del Maule,Molina,Pelu,0,0
Región del Maule,Molina,Peumo,1,4
Región del Maule,Molina,Picha-Picha,0,0
Región del Maule,Molina,Pimiento,0,0
Región del Maule,Molina,Pitra,0,0
Región del Maule,Molina,Polizón,0,0
Región del Maule,Molina,Queñoa,0,0
Región del Maule,Molina,Queñoa de Altura,0,0
Región del Maule,Molina,Queule,0,0
Región del Maule,Molina,Quillay,8,566.43000064345
Región del Maule,Molina,Radal,0,0
Región del Maule,Molina,Rarán,0,0
Región del Maule,Molina,Raulí,1,1133.6674067284
Región del Maule,Molina,Roble,2,698.9372372072249
Región del Maule,Molina,Roble Blanco,0,0
Región del Maule,Molina,Ruil,0,0
Región del Maule,Molina,Sándalo,0,0
Región del Maule,Molina,Sauce Amargo,0,0
Región del Maule,Molina,Sauco,0,0
Región del Maule,Molina,Tamarugo,0,0
Región del Maule,Molina,Tara,0,0
Región del Maule,Molina,Tayu,0,0
Región del Maule,Molina,Tepa,0,0
Región del Maule,Molina,Tiaca,0,0
Región del Maule,Molina,Tineo,0,0
Región del Maule,Molina,Trevo,0,0
Región del Maule,Molina,Ulmo,0,0
Región del Maule,Rauco,Total,37,4598.07
Región del Maule,Rauco,Sin clasificar,0,0
Región del Maule,Rauco,Alerce,0,0
Región del Maule,Rauco,Algarrobo,0,0
Región del Maule,Rauco,Algarrobo del Norte,0,0
Región del Maule,Rauco,Araucaria,0,0
