total_nacional_region,comuna_4_5,especie_6,total_numero_de_upa78,total_superficie_cultivo_ha
Región de Tarapacá,Colchane,Atriplex sp,0,0
Región de Tarapacá,Colchane,Eucalipto Blanco (Eucalyptus Globulus),0,0
Región de Tarapacá,Colchane,Eucalyptus Nitens,0,0
Región de Tarapacá,Colchane,Pino Ponderosa (Pinus Ponderosa),0,0
Región de Tarapacá,Colchane,Pino Radiata o Insigne (Pinus Radiata),0,0
Región de Tarapacá,Colchane,Pino Oregón (Pseudotsuga Menziesii),0,0
Región de Tarapacá,Colchane,Coigüe,0,0
Región de Tarapacá,Colchane,Quillay,0,0
Región de Tarapacá,Colchane,Raulí,0,0
Región de Tarapacá,Colchane,Tamarugo,0,0
Región de Tarapacá,Colchane,Otras Especies Exóticas,0,0
Región de Tarapacá,Colchane,Otras Coníferas,0,0
Región de Tarapacá,Colchane,Otras Especies Nativas,0,0
Región de Tarapacá,Colchane,Especie Nativa y Especie Exótica,0,0
Región de Tarapacá,Huara,Total,1,24619
Región de Tarapacá,Huara,Sin clasificar,0,0
Región de Tarapacá,Huara,Acacia,0,0
Región de Tarapacá,Huara,Álamo,0,0
Región de Tarapacá,Huara,Aromo,0,0
Región de Tarapacá,Huara,Atriplex sp,0,0
Región de Tarapacá,Huara,Eucalipto Blanco (Eucalyptus Globulus),0,0
Región de Tarapacá,Huara,Eucalyptus Nitens,0,0
Región de Tarapacá,Huara,Pino Ponderosa (Pinus Ponderosa),0,0
Región de Tarapacá,Huara,Pino Radiata o Insigne (Pinus Radiata),0,0
Región de Tarapacá,Huara,Pino Oregón (Pseudotsuga Menziesii),0,0
Región de Tarapacá,Huara,Coigüe,0,0
Región de Tarapacá,Huara,Quillay,0,0
Región de Tarapacá,Huara,Raulí,0,0
Región de Tarapacá,Huara,Tamarugo,1,24619
Región de Tarapacá,Huara,Otras Especies Exóticas,0,0
Región de Tarapacá,Huara,Otras Coníferas,0,0
Región de Tarapacá,Huara,Otras Especies Nativas,0,0
Región de Tarapacá,Huara,Especie Nativa y Especie Exótica,0,0
Región de Tarapacá,Pica,Total,1,0.128
Región de Tarapacá,Pica,Sin clasificar,0,0
Región de Tarapacá,Pica,Acacia,0,0
Región de Tarapacá,Pica,Álamo,0,0
Región de Tarapacá,Pica,Aromo,0,0
Región de Tarapacá,Pica,Atriplex sp,0,0
Región de Tarapacá,Pica,Eucalipto Blanco (Eucalyptus Globulus),0,0
Región de Tarapacá,Pica,Eucalyptus Nitens,0,0
Región de Tarapacá,Pica,Pino Ponderosa (Pinus Ponderosa),0,0
Región de Tarapacá,Pica,Pino Radiata o Insigne (Pinus Radiata),0,0
Región de Tarapacá,Pica,Pino Oregón (Pseudotsuga Menziesii),0,0
Región de Tarapacá,Pica,Coigüe,0,0
Región de Tarapacá,Pica,Quillay,0,0
Región de Tarapacá,Pica,Raulí,0,0
Región de Tarapacá,Pica,Tamarugo,1,0.128
Región de Tarapacá,Pica,Otras Especies Exóticas,0,0
Región de Tarapacá,Pica,Otras Coníferas,0,0
Región de Tarapacá,Pica,Otras Especies Nativas,0,0
Región de Tarapacá,Pica,Especie Nativa y Especie Exótica,0,0
Región de Antofagasta,Total Región,Total,15,16.139
Región de Antofagasta,Total Región,Sin clasificar,1,0.25
Región de Antofagasta,Total Región,Acacia,0,0
Región de Antofagasta,Total Región,Álamo,1,0.006
Región de Antofagasta,Total Región,Aromo,0,0
Región de Antofagasta,Total Región,Atriplex sp,0,0
Región de Antofagasta,Total Región,Eucalipto Blanco (Eucalyptus Globulus),0,0
Región de Antofagasta,Total Región,Eucalyptus Nitens,0,0
Región de Antofagasta,Total Región,Pino Ponderosa (Pinus Ponderosa),1,0.01
Región de Antofagasta,Total Región,Pino Radiata o Insigne (Pinus Radiata),0,0
Región de Antofagasta,Total Región,Pino Oregón (Pseudotsuga Menziesii),0,0
Región de Antofagasta,Total Región,Coigüe,0,0
Región de Antofagasta,Total Región,Quillay,0,0
Región de Antofagasta,Total Región,Raulí,0,0
Región de Antofagasta,Total Región,Tamarugo,4,11.889
Región de Antofagasta,Total Región,Otras Especies Exóticas,1,1.1
Región de Antofagasta,Total Región,Otras Coníferas,0,0
Región de Antofagasta,Total Región,Otras Especies Nativas,9,2.884
Región de Antofagasta,Total Región,Especie Nativa y Especie Exótica,0,0
Región de Antofagasta,Antofagasta,Total,0,0
Región de Antofagasta,Antofagasta,Sin clasificar,0,0
Región de Antofagasta,Antofagasta,Acacia,0,0
Región de Antofagasta,Antofagasta,Álamo,0,0
Región de Antofagasta,Antofagasta,Aromo,0,0
Región de Antofagasta,Antofagasta,Atriplex sp,0,0
Región de Antofagasta,Antofagasta,Eucalipto Blanco (Eucalyptus Globulus),0,0
Región de Antofagasta,Antofagasta,Eucalyptus Nitens,0,0
Región de Antofagasta,Antofagasta,Pino Ponderosa (Pinus Ponderosa),0,0
Región de Antofagasta,Antofagasta,Pino Radiata o Insigne (Pinus Radiata),0,0
Región de Antofagasta,Antofagasta,Pino Oregón (Pseudotsuga Menziesii),0,0
Región de Antofagasta,Antofagasta,Coigüe,0,0
Región de Antofagasta,Antofagasta,Quillay,0,0
Región de Antofagasta,Antofagasta,Raulí,0,0
Región de Antofagasta,Antofagasta,Tamarugo,0,0
Región de Antofagasta,Antofagasta,Otras Especies Exóticas,0,0
Región de Antofagasta,Antofagasta,Otras Coníferas,0,0
Región de Antofagasta,Antofagasta,Otras Especies Nativas,0,0
Región de Antofagasta,Antofagasta,Especie Nativa y Especie Exótica,0,0
Región de Antofagasta,Taltal,Total,0,0
Región de Antofagasta,Taltal,Sin clasificar,0,0
