total_nacional_region____,comuna6_7____,especie____,total__numero_de_upa89__,total__superficie_ha__,total__superficie_ha__en_riego,total__superficie_ha__en_secano,total__superficie_ha__sin_clasificar_10,total__estado_desarrollo_ha__en_formacion_11,total__estado_desarrollo_ha__en_produccion_12,total__estado_desarrollo_ha__sin_clasificar_10
Región de Arica y Parinacota,Putre,Limonero,2,0.13,0.13,0,0,0.005,0.125,0
Región de Arica y Parinacota,Putre,Mandarina,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Putre,Mango,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Putre,Manzana,5,0.608,0.608,0,0,0.015,0.593,0
Región de Arica y Parinacota,Putre,Membrillo,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Putre,"Moras, Murta y Zarzaparrila",0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Putre,Naranjo,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Putre,Nectarino,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Putre,Nogal,1,0.01,0.01,0,0,0,0.01,0
Región de Arica y Parinacota,Putre,Olivo,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Putre,Palto,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Putre,Papayo,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Putre,Pera,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Putre,Pistacho,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Putre,Pomelo,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Putre,Rosa Mosqueta (Cultivada),0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Putre,Tuna,14,4.052000000000001,4.052000000000001,0,0,0.2,3.852,0
Región de Arica y Parinacota,Putre,Uva de Mesa,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Putre,Otros Frutales,5,0.48,0.48,0,0,0.1,0.38,0
Región de Arica y Parinacota,Putre,Quinta Frutal,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Total,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Sin Clasificar,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Almendro,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Berries,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Avellano Europeo,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Castaño,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Cerezo,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Chirimoyo,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Ciruelo Europeo,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Ciruelo Japonés,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Clementina,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Damasco,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Duraznero (Consumo Fresco),0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Duraznero (Tipo Conservero),0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Granado,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Higuera,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Kiwi,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Lima (o Limón Sutil),0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Limón de Pica,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Limonero,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Mandarina,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Mango,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Manzana,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Membrillo,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,"Moras, Murta y Zarzaparrila",0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Naranjo,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Nectarino,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Nogal,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Olivo,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Palto,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Papayo,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Pera,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Pistacho,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Pomelo,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Rosa Mosqueta (Cultivada),0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Tuna,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Uva de Mesa,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Otros Frutales,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,General Lagos,Quinta Frutal,0,0,0,0,0,0,0,0
Región de Tarapacá,Total Región,Total,264,277.025,266.372,10.454,0.199,19.948,257.077,0
Región de Tarapacá,Total Región,Sin Clasificar,0,0,0,0,0,0,0,0
