Total Nacional - Región_0,comuna_6_7_8_1,número__de_upa_2,superficie_(ha)_3,número_de_upa_4,superficie_(ha)_5,número_de_upa_6,superficie_(ha)_7,número_de_upa_8,superficie_(ha)_9,número_de_upa_10,superficie_(ha)_11,número_de_upa_12,superficie_(ha)_13,número_de_upa_14,superficie_(ha)_15,número_de_upa_16,superficie_(ha)_17,número_de_upa_18,superficie_(ha)_19,número_de_upa_20,superficie_(ha)_21,número_de_upa_22,superficie_(ha)_23,número_de_upa_24,superficie_(ha)_25,número_de_upa_26,superficie_(ha)_27,número_de_upa_28,superficie_(ha)_29,número_de_upa_30,superficie_(ha)_31,número_de_upa_32,superficie_(ha)_33,número_de_upa_34,superficie_(ha)_35,número_de_upa_36,superficie_(ha)_37,número_de_upa_38,superficie_(ha)_39
Región del Libertador General Bernardo O'Higgins,lolol,2710,3434984200007941,720,120122766549,170,7066,90,549950379749,350,2783593417735,810,3644285822785,460,21227706557376,00,00,230,2055,30,211,570,291722971571,520,570772819658996,690,9700200164018863,30,215,1290,55389498422915,560,19636021311472,170,1087010000107955,660,1506470000008842,1670,457794828808991
Región del Libertador General Bernardo O'Higgins,nancagua,2180,1215724499999121,740,73423,90,997,30,1360,410,18381,600,19897414532,800,190392889414079,00,00,30,820,10,005,460,20492,80,221,190,442104,30,77,100,69904,340,38007752540752,40,8685,320,82649,1540,469297127242898
Región del Libertador General Bernardo O'Higgins,palmilla,3340,1573469192757207,1910,191393,100,273,50,341,730,2782,830,267392410482886,440,3455449736446791,00,00,80,428,20,39908831906,570,25341,50,100,100,8715,80,573,270,1595211999999855,710,1609523030239292,60,12436,510,1004741984674,1650,659710188192669
Región del Libertador General Bernardo O'Higgins,peralillo,2710,2261957822805228,1230,162306908531824,120,282,40,1230,760,326979,940,321240589517114,510,3753078482483162,00,00,30,103,30,46091168094,510,23077528823854,120,3431,120,92143,130,11196,440,455375494311978,900,301039396982827,150,218,570,382886281778564,1600,515859629298102
Región del Libertador General Bernardo O'Higgins,placilla,2450,9865783200000102,560,56514,100,3228777777778,60,2565,320,1270662,1560,2431471,480,77254,50,1118,40,339,40,0625,430,15367000000006,110,4443222222224,110,363234,00,00,40,604444444446,350,37486,00,00,200,142526777777778,1510,23937077777778
Región del Libertador General Bernardo O'Higgins,pumanque,1980,2023199400000589,380,33915124919176,90,8091,30,142569620251,330,436976582265,560,683604177215,170,16044793442624,00,00,30,4040000000000001,20,11,700,45761174019046,720,2741443803226015,450,2480742836141602,20,230,1120,7855575214588168,760,21341918688528,130,1086839999977895,200,239674197543358,1240,349821290338931
Región del Libertador General Bernardo O'Higgins,santa_cruz,3240,2020120684445966,1340,24305212365662,30,46,140,3609,620,62139,870,26740912528966,710,2840302886929257,30,0262,130,21264,90,703,580,269303,70,1039,220,375019,20,42,320,1308781,510,106920747459248,60,99,540,391367,1510,620317993475125
Región del Maule,total_región,174000,1331819793353982,52160,552582580000449,19430,61449810000014,3080,42745399999979,41510,102528863999845,66760,8775461100003593,16040,35980296,1510,476046,3620,76592459999806,2580,6374391999999,26460,176495760000095,24880,3364080290599437,17380,2337539609933239,16310,234716410000008,68980,1531026009999057,37070,8257015309969896,11370,8455307800014231,22550,1624036500000565,121900,2989724200085504
Región del Maule,talca,3450,853808957981796,1100,95208247674122,370,902313651744,110,2308,1570,60803745250434,510,1105368694781067,480,12787665006965,60,2246,130,14366022545292,160,8773,340,3305695224548,140,14684720778342,90,1652303957618,160,9736846153842,820,100969403977778,1110,1052028685551968,150,25914770481,630,9146468838586,1950,375823897259726
Región del Maule,constitución,3840,9592033383642357,930,132487,850,13954,10,05,1450,529986,1650,14546,530,41424,50,0923,00,00,30,17,780,99958,2530,5959495450162644,890,1181116376395214,140,16865,1930,3863608440628343,520,4968809812360621,480,8791421918906082,450,3003689004741977,3070,2203423794207985
