Total Nacional - Región_0,comuna_56_1,número_de_upa7_2,superficie_(ha)_3,número_de_upa_4,superficie_(ha)_5,número_de_upa_6,superficie_(ha)_7,número_de_upa_8,superficie_(ha)_9,número_de_upa_10,superficie_(ha)_11,número_de_upa_12,superficie_(ha)_13,número_de_upa_14,superficie_(ha)_15,número_de_upa_16,superficie_(ha)_17,número_de_upa_18,superficie_(ha)_19,número_de_upa_20,superficie_(ha)_21,número_de_upa_22,superficie_(ha)_23,número_de_upa_24,superficie_(ha)_25
Región de La Araucanía,purén,7220,283776383146133,160,8064,1380,417386999998,1850,12625300000008,1350,19288400000001,1570,50208680267164,440,31048399999917,260,3459575,140,46243599999987,40,29831703904522,20,23925000000089,10,31755038974465
Región de La Araucanía,renaico,2470,171773448585503,190,91,790,2089500000053,390,28133,400,5772665,330,99229,150,102316,100,149798,70,24179225,40,24713658572372,00,00,10,76979800013078
Región de La Araucanía,traiguén,7360,630086404397917,140,7799,820,24828,1490,11489580000044,2210,30218080000006,1200,37409972,520,3880709999997,440,67337200000268,310,99465300000295,160,10378542,40,4785710000032,30,191155862397014
Región de La Araucanía,victoria,8620,860210042646988,60,311,2400,723293999968,1760,12434039999997,1890,24618500000014,940,27636834999956,380,255461,460,65123399999945,460,154282949999909,130,863113,110,149567174999224,30,307425702648263
Región de Los Ríos,total_región,87490,1224008426857959,2680,1341309,21620,61538956,18690,130064144,16760,230312979,13900,427579868,5820,401408625,3160,43097746,2540,795267201342813,1170,826432545000652,670,895973423658615,480,8039187757577512
Región de Los Ríos,valdivia,3530,677988751928431,210,8234,770,216787,500,357821,450,632889,650,187237,380,260333,290,38482100000044,180,54995265,30,20072875,20,30510,50,477014201928387
Región de Los Ríos,corral,1670,4379109916578671,70,355,460,119351,220,14225,270,36942,340,88065,160,113055,80,9822,20,5055,10,72064,10,1571587114593,30,373654010511937
Región de Los Ríos,lanco,4570,340407520465018,40,20,900,25723,1090,791936,1250,1766495,720,2187586,240,16650,140,1887185,110,305384236,60,46605476832673,10,13994,10,163695300032345
Región de Los Ríos,los_lagos,5380,1059671127037624,240,119612,990,2602374,1090,7702929,770,10187662000008,820,263934725,380,26716641679945,310,43679499999956,360,12048380966338,210,1503541,160,213337126157693,50,458093900036642
Región de Los Ríos,máfil,4090,487661939989534,180,9855,780,192396,680,46003,670,92526,750,2297837,400,291613,230,307985,250,821553,110,64697259969327,20,21730,20,220265800020207
Región de Los Ríos,mariquina,8940,885257383849514,380,17589,2060,569802,1570,1086463,1670,23263255,1640,52318492,840,575215,380,476765,260,82602923167327,80,489543,20,2337825,40,532803623682187
Región de Los Ríos,paillaco,6670,6988548165127709,160,9174,1330,3928786000006,1130,7909100000006,1390,19409200000017,1080,3323787999999,690,479543,370,519899,280,80750599999978,130,84323200000596,40,49947699999428,70,31931241051275
Región de Los Ríos,panguipulli,13220,2493569771832727,100,5585,2790,8662822,3370,236984025,3150,43686102,2170,632273425,690,45557865,300,40772801430862,300,931835,120,83704625,90,1192495289,140,1971770932501865
Región de Los Ríos,la_unión,12270,1627084706327308,350,17927,3240,9190334,2550,1786451250001,2130,28972529999994,2210,69254250999892,760,530214,470,67378210000296,380,111277410000443,80,55624300000565,50,7272979999998701,50,1141592688826121
Región de Los Ríos,futrono,5450,979182396650196,260,125805,1710,43982,1010,6683399999994,870,11408999999994,640,215358,280,197931,170,24753700000856,170,54874149999945,190,1412682,60,8303954,90,611301501649407
Región de Los Ríos,lago_ranco,6610,1111615420002272,110,5504,1750,5219469999998,1730,1201239,1250,1709132,910,2858725,370,24553150000284,220,28133,170,57636999995165,00,00,50,60891,50,877435800006825
Región de Los Ríos,río_bueno,16830,144087944232633,620,322712,4910,1415891,3860,2660891,2960,40212370000028,2050,6262505,840,5864666,470,657491,620,201672410369585,260,17487872,130,181684099999435,110,614320499957282
Región de Los Lagos,total_región,183430,2629360929498168,4390,2243261,39310,11624925,37810,2664557115,38120,5308533635,33250,1022833966491135,14410,991241117697192,7750,1071985067866469,5510,1685311809768835,1860,1258574673570405,640,870270463067859,380,1847759061051978
Región de Los Lagos,puerto_montt,8170,998267747000002,520,270355,2390,6524933,1680,11596453000029,1250,16988055999994,1280,39672133,650,45767116999979,220,295116,120,379208,50,343463,00,00,10,775670
Región de Los Lagos,calbuco,19310,258177947000148,560,255005,6770,21061001,5960,41833061,3950,5345858,1580,458402,290,197917,140,189074,30,120044,20,145036,00,00,10,30523000000148
Región de Los Lagos,cochamó,3310,726514533993387,30,21,300,946796,420,2865579,610,8451512,870,29510313,580,38675054,270,37574838,190,54869447993387,20,11839994,10,17410,10,524350
Región de Los Lagos,fresia,5950,454923547394205,90,622,640,185888,940,676304,1120,1630005,1430,43356750000188,630,43088500000095,540,74387299999997,420,132727465424872,80,59132000000154,60,77247361968899,00,00
Región de Los Lagos,frutillar,4010,482500420000065,120,648,790,23804,530,3571900000002,550,75207,360,120949,410,29619399999955,510,711766,500,15763517,190,13058455000006,40,47392000000048,10,20460
Región de Los Lagos,los_muermos,13480,736900544999723,70,358,1040,3393479999989,1640,1204478,2750,39247936,4080,128678563999969,2250,157100284999935,980,133587699999967,510,144908100000036,150,97203899999917,00,00,10,2069999999991
Región de Los Lagos,llanquihue,1970,294982199998507,30,18,310,9025,210,14276,180,23056,300,9677,210,14422000000052,350,4919168961192801,210,63619199999884,120,77499200000886,40,52960510385757,10,229589
Región de Los Lagos,maullín,9110,317455509999736,110,5385,1100,322997,1400,995059999991,2100,29851790000011,2650,798736,1130,79009599999873,450,60648899999852,150,3824820000009,20,16589,00,00,00,00
