Total Nacional - Región_0,comuna_6_7_1,tipo_de_cultivo_2,especie_3,número_de_upa_8910_4,superficie_total_cultivo_(ha)_5,riego_
superficie_(ha)_6,secano
superficie_(ha)_7,sin_clasificar_11
superficie_(ha)_8
Región de Arica y Parinacota,total_región,forrajeras,ballica_anual,00,00,00,00,00
Región de Arica y Parinacota,total_región,forrajeras,ballica_bianual,00,00,00,00,00
Región de Arica y Parinacota,total_región,forrajeras,ballica_perenne_o_persistente,00,00,00,00,00
Región de Arica y Parinacota,total_región,forrajeras,betarraga_forrajera,00,00,00,00,00
Región de Arica y Parinacota,total_región,forrajeras,cebada_forrajera_(incluye_silo),00,00,00,00,00
Región de Arica y Parinacota,total_región,forrajeras,centeno_forrajero,00,00,00,00,00
Región de Arica y Parinacota,total_región,forrajeras,col,00,00,00,00,00
Región de Arica y Parinacota,total_región,forrajeras,falaris,00,00,00,00,00
Región de Arica y Parinacota,total_región,forrajeras,festuca,00,00,00,00,00
Región de Arica y Parinacota,total_región,forrajeras,haba_forrajera,00,00,00,00,00
Región de Arica y Parinacota,total_región,forrajeras,lotera_o_alfalfa_chilota,00,00,00,00,00
Región de Arica y Parinacota,total_región,forrajeras,maíz_para_silo,00,00,00,00,00
Región de Arica y Parinacota,total_región,forrajeras,mezcla_de_forrajeras,00,00,00,00,00
Región de Arica y Parinacota,total_región,forrajeras,mijo,00,00,00,00,00
Región de Arica y Parinacota,total_región,forrajeras,nabo_(incluye_silo),00,00,00,00,00
Región de Arica y Parinacota,total_región,forrajeras,pasto_canario,00,00,00,00,00
Región de Arica y Parinacota,total_región,forrajeras,pasto_miel,00,00,00,00,00
Región de Arica y Parinacota,total_región,forrajeras,pasto_ovillo,00,00,00,00,00
Región de Arica y Parinacota,total_región,forrajeras,sorgo,00,00,00,00,00
Región de Arica y Parinacota,total_región,forrajeras,raps_forrajero,00,00,00,00,00
Región de Arica y Parinacota,total_región,forrajeras,topinambur,00,00,00,00,00
Región de Arica y Parinacota,total_región,forrajeras,trébol_alejandrino,00,00,00,00,00
Región de Arica y Parinacota,total_región,forrajeras,trébol_balansa,00,00,00,00,00
Región de Arica y Parinacota,total_región,forrajeras,trébol_blanco,10,02,02,00,00
Región de Arica y Parinacota,total_región,forrajeras,trébol_encarnado,00,00,00,00,00
Región de Arica y Parinacota,total_región,forrajeras,trébol_ladino,00,00,00,00,00
Región de Arica y Parinacota,total_región,forrajeras,trébol_rosado,00,00,00,00,00
Región de Arica y Parinacota,total_región,forrajeras,trébol_subterráneo,00,00,00,00,00
Región de Arica y Parinacota,total_región,forrajeras,vicia,00,00,00,00,00
Región de Arica y Parinacota,total_región,forrajeras,otras_forrajeras_anuales,00,00,00,00,00
