0,1,2,3,4,5,6,7,8
región_de_arica_y_parinacota,total_región,flores_de_corte,anémona_(anemone_spp.),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,astilbe_(astilbe_spp.),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,astromelia_(alstroemeria_spp.),1.0,0.1,0.0,0.1,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,ave_del_paraíso_(strelitzia_regi,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,azucena_(nerine_spp.),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,cala_(zantedeschia_spp.),1.0,0.25,0.0,0.25,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,cebolla_ornamental_(allium_spp.),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,celosía_(celosia_argentea),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,chinas_(tagetes_erecta),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,cineraria_(senecio_cruentus),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,clavel_(dianthus_caryophyllus),6.0,2.6,0.45,2.15,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,clavelina_(dianthus_barbatus),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,craspedia_(craspedia_uniflora),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,crisantemo_(chrysanthemum_spp.),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,dalia_(dahlia_spp.),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,escabiosa_(scabiosa_spp.),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,estatice_(limonium_spp.),1.0,0.2,0.2,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,flor_de_cera_(chamelaucium_uncin,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,fresia_(freesia_spp.),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,genciana_(gentiana_spp.),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,gerbera_(gerbera_spp.),1.0,0.1,0.0,0.1,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,girasol_(helianthus_annus),1.0,0.05,0.0,0.05,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,gladiolo_(gladiolus_spp.),2.0,0.101,0.0,0.101,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,hipérico_rojo_(hypericum_spp.),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,hortensia_(hydrangea_spp.),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,ilusión_(gypsophila_spp.),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,jacinto_(hyacinthus_orientalis),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,junco_(cyperus_papyrus),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,leucadendro_(leucadendron_spp.),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,liatris_(liatris_spp.),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,lilium_(lilium_spp.),8.0,1.456,0.0,1.456,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,lirios_(iris_spp.),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,lisianto_(lisianthus_spp.),2.0,0.74,0.0,0.74,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,milindro_(godetia_multicolor),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,narciso_(narcissus_spp.),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,ornitogalum_(ornithogalum_spp.),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,peonía_(paeonia_spp.),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,perritos_(antirrhinum_majus),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,protea_(protea_spp.),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,ranúnculo_(ranunculus_spp.),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,reina_luisa_(aster_spp.),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,rosa_(rosa_spp.),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,ruscus_(ruscus_spp.),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,siempreviva_(helichrysum_spp.),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,tulipán_(tulipa_spp.),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,vara_de_oro_(solidago_spp.),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,vibornio_(viburnum_spp.),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,viola_(viola_spp.),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,zinnia_(zinnia_spp.),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,otras_flores_de_corte_o_follaje,2.0,0.7,0.5,0.2,0.0
región_de_arica_y_parinacota,total_región,hortalizas,total,970.0,2888.576,1747.205,1135.731,5.64
región_de_arica_y_parinacota,total_región,hortalizas,sin_clasificar,4.0,5.64,0.0,0.0,5.64
región_de_arica_y_parinacota,total_región,hortalizas,acelga,9.0,3.245,2.495,0.75,0.0
región_de_arica_y_parinacota,total_región,hortalizas,achicoria,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,hortalizas,ají,59.0,31.35,19.75,11.6,0.0
región_de_arica_y_parinacota,total_región,hortalizas,ajo,9.0,2.874,2.874,0.0,0.0
región_de_arica_y_parinacota,total_región,hortalizas,ajo_chilote,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,hortalizas,albahaca,15.0,9.190000000000001,6.19,3.0,0.0
región_de_arica_y_parinacota,total_región,hortalizas,alcachofa,4.0,1.5,1.5,0.0,0.0
región_de_arica_y_parinacota,total_región,hortalizas,alcaparra,0.0,0.0,0.0,0.0,0.0
