total_nacional_region,comuna_67,tipo_de_cultivo,especie,numero_total_de_upa8910,superficie_total_de_cultivo_ha,aire_libre_superficie_ha,bajo_cubierta_superficie_ha,sin_clasificar_superficie_ha_11
Total Nacional,Total Nacional,Hortalizas,Romero,72,31.2745,31.218,0.0565,0
Total Nacional,Total Nacional,Hortalizas,Ruda,49,5.2768,4.3624,0.9144000000000001,0
Total Nacional,Total Nacional,Hortalizas,Salvia,19,2.8418,2.2562,0.5856,0
Total Nacional,Total Nacional,Hortalizas,Tomillo,50,7.255,7.1884,0.0666,0
Total Nacional,Total Nacional,Hortalizas,Toronjil (o melisa),38,4.1865,4.0294,0.1571,0
Total Nacional,Total Nacional,Hortalizas,Otras Plantas Aromáticas y Medicinales,226,81.2104,75.2432,5.9672,0
Total Nacional,Total Nacional,Semilleros,Total,1049,19259.9039999697,18612.8209999697,417.153,229.93
Total Nacional,Total Nacional,Semilleros,Sin Clasificar,19,229.93,0,0,229.93
Total Nacional,Total Nacional,Semilleros,"Semillas de Cereal, Leguminosas y Tubérculos",536,9270.3529999883,9236.8029999883,33.55,0
Total Nacional,Total Nacional,Semilleros,Semillas de Cultivos Industriales,227,4806.299999994601,4762.9099999946,43.39,0
Total Nacional,Total Nacional,Semilleros,Semillas de Hortalizas,525,3621.6739999978,3297.7599999978,323.914,0
Total Nacional,Total Nacional,Semilleros,Otras Semillas,96,1331.646999989,1315.347999989,16.299,0
Región de Arica y Parinacota,Total Región,Flores de corte,Total,17,6.297000000000001,1.15,5.147,0
Región de Arica y Parinacota,Total Región,Flores de corte,Sin Clasificar,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Agapanto (Agapanthus spp.),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Alelí (Matthiola incana),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Anémona (Anemone spp.),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Astilbe (Astilbe spp.),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Flores de corte,Astromelia (Alstroemeria spp.),1,0.1,0,0.1,0
Región de Arica y Parinacota,Total Región,Flores de corte,Ave del Paraíso (Strelitzia reginae),0,0,0,0,0
