total_nacional_region__,comuna_56__,total_superficie_ha__riego_ha,total_superficie_ha__secano_ha,total_superficie_ha__sin_clasificar_ha,cereales__riego_ha,cereales__secano_ha,cereales__sin_clasificar_ha,leguminosas_y_tuberculos__riego_ha,leguminosas_y_tuberculos__secano_ha,leguminosas_y_tuberculos__sin_clasificar_ha,cultivos_industriales__riego_ha,cultivos_industriales__secano_ha,cultivos_industriales__sin_clasificar_ha,hortalizas_hongos_aromaticas_medicinales_y_condimentarias__riego_ha,hortalizas_hongos_aromaticas_medicinales_y_condimentarias__secano_ha,hortalizas_hongos_aromaticas_medicinales_y_condimentarias__sin_clasificar_ha,frutales__riego_ha,frutales__secano_ha,frutales__sin_clasificar_ha,vides_para_vinificacion_y_uvas_pisqueras__riego_ha,vides_para_vinificacion_y_uvas_pisqueras__secano_ha,vides_para_vinificacion_y_uvas_pisqueras__sin_clasificar_ha,flores_de_corte__riego_ha,flores_de_corte__secano_ha,flores_de_corte__sin_clasificar_ha,semilleros__riego_ha,semilleros__secano_ha,semilleros__sin_clasificar_ha,viveros_y_cesped_alfombra__riego_ha,viveros_y_cesped_alfombra__secano_ha,viveros_y_cesped_alfombra__sin_clasificar_ha,forrajeras__riego_ha,forrajeras__secano_ha,forrajeras__sin_clasificar_ha,praderas_mejoradas__riego_ha,praderas_mejoradas__secano_ha,praderas_mejoradas__sin_clasificar_ha
Región de La Araucanía,Saavedra,110.9052701358,4394.7302858289,36.5455,1,1360.1224255598,16.5,70.976923077,1634.7909246283,18.5,0,271.5220538633,0,23.3227,126.7897,1.5455,8.23,49.7607,0,0,0,0,0.808,1.0137,0,0.5,3.2,0,0.05,0,0,1,349.5618198634,0,5.0176470588,597.9689619141,0
Región de La Araucanía,Teodoro Schmidt,1327.8623728448,9145.395529228099,57.675,8.85,5042.9459773132,13.35,942.3305159624,657.3294720943,8.2,58.9292542929,682.987265758,0,40.0788,17.359,0.1,69.5418,89.0394,0,2.25,0.5,0,1.86,0,0,60.125,72.1,0.325,1.77,0,0,33.9455587392,905.56,33.7,108.1814438503,1677.5744140626,2
Región de La Araucanía,Toltén,700.6387460843,2700.1939954476,17.688,8.5551282051,464.8358066974,2,125.7406393224,193.895375134,3.5,0,0,0,19.6153,7.5818,2.438,7.4002,38.3065,0,0,0,0,0.25,0,0,0,0,0,0,0,0,33.8595694659,484.3752077544,9.75,505.2179090909,1511.1993058618,0
Región de La Araucanía,Vilcún,6041.958905055901,23433.503999509,32.5,1228.5005714286,15733.693107629,6.55,2058.8449107143,99.735,0.853,118,905.451343361,0,499.1204,9.1341,0.6869999999999999,577.698,109.3667,0,0,0,0,4.8601,0.2505,0,0.3,179,0,16.0037,0.2,0,168.1,2070.3697789508,23.75,1370.531222913,4326.3034695682,0.66
Región de La Araucanía,Villarrica,1018.9195,7787.464185971001,3.864,3.52,1437.8010046909,2,7.388,80.44256765120001,0.031,0,0,0,82.4975,17.324,0.333,364.917,620.5429,0,2.4,0,0,1.615,0.0012,0,0,2,0,15.794,1,0,140,1402.7160017959,1,400.788,4225.636511833,0.5
Región de La Araucanía,Cholchol,559.456746154,1814.764765054,24.7427,108.35,1394.137632527,13.6,44.224846154,139.167632527,0.65,0,15,2.25,321.0304,22.9385,6.7427,65.265,50.471,0,0,0,0,5.2,0.5,0.5,0,0,0,0.0065,0,0,1.1,145.45,1,14.28,47.1,0
Región de La Araucanía,Angol,3112.3339088147,570.7089865825,3.5124719101,559.8794806838,226.4214526715,1.14,41.138,5.26,0,228.3822583139,0,0,145.6479,0,0.5,993.6041,37.5309,0,0.613,0,0,0.337,0,0,94.1845,0,0,16.19,0,0,634.498119647,216.1803040972,1.85,397.85955017,85.3163298138,0.0224719101
Región de La Araucanía,Collipulli,651.5365,4300.21,6.04,26.8,3557.9,3.2,6.37,6.191,0,0,543,0,58.6835,3.083,0.84,445.468,21.126,0,0,0,0,6.705,0,0,0.5,0,0,9.760000000000002,0,0,40.55,65.55,2,56.7,103.36,0
Región de La Araucanía,Curacautín,141.5538,9182.4667822752,15.1,15,6638.3860033364,3,1.01,0.765,0.5,0,907.741859584,0,2.7828,0.012,0,1.461,51.0495,0,0,0,0,0,0,0,0,0,0,2.5,0,0.6,66,1438.2867096774,4.5,52.8,146.2257096774,6.5
Región de La Araucanía,Ercilla,163.0783,4892.023544356301,0.1162,107.5,3765.7555145935,0,0.492,2.8,0,1.5,944.571166408,0,0.7363,0.997,0.0162,34.35,2.6866,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5,66.1872633548,0.1,0,109.026,0
Región de La Araucanía,Lonquimay,2143.3114,404.191,5.2,4.5,2,0,12.012,0,0,0,0,0,10.1184,0.121,0,4.681,5.47,0,0,0,0,0,0,0,0,0,0,1,0,0,910.9,190.3,5.2,1200.1,206.3,0
Región de La Araucanía,Los Sauces,655.7672880301,4490.5446507219,1.954,31.6,2074.372159558,0.25,25.422,70.2894049416,1.208,0,129.70958073,0,53.4033,1.592,0.496,211.1218,43.4035,0,3.8,0,0,1.512,0,0,26.5,0,0,0.5,0,0,49.4362691501,1312.2240113775,0,252.47191888,858.9539941148,0
Región de La Araucanía,Lumaco,134.9353285714,1312.5646047948,3.6585280899,4.2,860.0319381211,0,50.6514285714,42.4439473684,0.8,0,26.2797197405,0,46.5887,8.136,1.781,9.6952,19.8455,0,2.25,0,0,0,0,0,0,0,0,0,2,0,18.3,200.3820568638,1,3.25,153.445442701,0.0775280899
Región de La Araucanía,Purén,342.0302,1392.9447207646,4.428,61.25,579.6813146899,0.5,92.989,170.63664769,2,0,1,0,42.5347,0.75,1.928,60.4555,19.7236,0,10,2.5,0,0.186,0,0,0.375,1,0,1.5,0,0,64.04,575.7695981753,0,8.7,41.8835602094,0
Región de La Araucanía,Renaico,3834.2989031552,385.7646,2.0319,1484.0855193162,105.9,0,74.5525,1.5155,1,153.5177416861,0,0.5,120.6574,1.3981,0.5219,887.4821000000001,16.301,0.01,0,0,0,0.09,0,0,175.3155,0,0,44.9,0,0,490.8056112029,219.65,0,402.89253095,41,0
Región de La Araucanía,Traiguén,3687.714771428601,17426.6501904943,11.501,1718.85,11724.9163524069,11,153.4555714286,246.5429032258,0.5,372.6,3260.6168623351,0,165.0079,2.665,0,1076.6993,15.5599,0,24.65,23.15,0,4.362,0,0.001,0,1,0,0.04,0,0,30,718.5612571491,0,142.05,1433.6379153774,0
Región de La Araucanía,Victoria,2098.071,33920.0126603935,280.81,511.2,25702.0529558674,13.58,7.781,82.2264403139,22,0,5469.2599974462,74.06,51.274,4.815,0.17,776.051,43.02,0,11,0,1,0.5,0,0,0,10,0,4.765,1,0,651,1120.7355089824,170,84.5,1486.9027577836,0
Región de Los Ríos,Total Región,23055.7395000598,178572.8878001375,555.8575000000001,1251.53,23099.8470000463,96.67,2173.285,2506.9440000156,8.081,2.82,2533.8600000033,0.24,474.1062,340.4926,10.5395,3928.962,2357.662,11.05,22,8,0,44.8235,10.8922,0,192.075,37,4,45.8128,0.85,0.48,3811.565,29318.9990000225,139.12,11108.7600000598,118358.3410000498,285.677
Región de Los Ríos,Valdivia,373.343,3992.0651970836,24.575,0.75,860,0,5.518,12.092,0.001,2.2,0,0,16.38,6.144,1.094,10.399,57.444,0,3.5,0,0,9.642999999999999,0.12,0,2.1,0,0,7.608,0,0.48,1.505,369.9,0,313.74,2686.3651970836,23
Región de Los Ríos,Corral,132.276,104.555,0.02,0.25,1.8,0,2.693,10.67,0,0,0,0,16.495,7.044,0.02,7.116,17.013,0,0,0,0,0.21,0.01,0,0,0,0,0.012,0,0,0,5.33,0,105.5,62.688,0
Región de Los Ríos,Lanco,1184.6306,3304.0354,2.54,130.75,674.05,1,71.28,39.37,0,0,0,0,48.4526,13.3704,1.03,325.918,110.475,0,0,0,0,0.25,0,0,0,0,0,3.23,0.25,0,405.75,1393.1,0.25,199,1073.42,0.26
Región de Los Ríos,Los Lagos,2368.3628654042,28499.7508037209,210.5887,0,1981.3264735668,0,20.941,34.5999375,0.5,0,150,0,31.3175,6.4329,1.0887,614.708,359.4092,0,0.8,0,0,0.01,0.2,0,0,0,0,0.035,0,0,670.06,7044.3437532234,0,1030.4913654042,18923.4385394307,209
Región de Los Ríos,Máfil,1046.8848,10698.537,4.95,0,2829.5,0,30.678,43.794,0.1,0.12,298.2,0,26.1768,4.18,0.85,231.45,85.57300000000001,0,0,0,0,0.06,0,0,97.355,36,4,0.045,0,0,101.5,2054.03,0,559.5,5347.26,0
Región de Los Ríos,Mariquina,1734.8355,8116.4244,67.959,407.5,2798.732,32,209.654,307.182,0.35,0,296.12,0,52.5135,30.5044,0.609,451.751,196.609,0,0,0,0,0.05,0,0,2.6,0,0,17.717,0.5,0,6,948.402,0,587.05,3538.375,35
Región de Los Ríos,Paillaco,4367.450736986601,20796.2401362098,17.065,368.8356605466,2912.481750149,1,889.8306134359999,526.96133904,0.5,0,325.21,0,24.117,9.895,0.265,452.3568,207.824,0,0,0,0,0.9249999999999999,0.3,0,30.02,0,0,0.5096,0,0,338.785506272,1225.972937715,3.3,2262.070556732,15587.5951093058,12
Región de Los Ríos,Panguipulli,1778.6311,11366.4679,22.5585,0,1699.61,0.1,46.941,177.361,2.21,0,729.22,0,84.6969,111.7887,1.8985,948.38,637.946,11.05,0,0,0,0.07,0.1222,0,0,0,0,3.4232,0,0,192.8,2387.5,7.2,502.32,5622.92,0.1
Región de Los Ríos,La Unión,4303.091644705401,21872.3502729094,73.6439,340.3943394534,3944.7954909948,54,325.174386564,487.5006360725,1.25,0.5,257.4145440414,0,69.304,39.998,2.6089,420.7952,263.629,0,3.7,8,0,2.1555,0.13,0,0,1,0,9.065,0,0,1160.903218688,5602.7676198407,14.65,1971.1,11267.11498196,1.135
Región de Los Ríos,Futrono,453.7612529636,13852.276479189,47.0754,1,639.736766148,0,105.705,145.79,2,0,80.1,0,38.4129,26.891,1.0754,132.69,54.49,0,14,0,0,0,0,0,0,0,0,0.004,0,0,83.36127504,1803.8476892434,44,78.5880779236,11101.4210237976,0
Región de Los Ríos,Lago Ranco,178.259,4947.0370393158,17.96,0.55,502.8739198594,8,4.61,198.5458355136,1.17,0,2.8343558298,0,26.691,28.5144,0,50.3,124.8139,0,0,0,0,0,0,0,0,0,0,0.108,0.1,0,1,536.25,5,95,3553.104628113,3.79
Región de Los Ríos,Río Bueno,5134.213,51023.148171709,66.922,1.5,4254.9405993283,0.57,460.26,523.0772518895,0,0,394.7611001321,0.24,39.549,55.7298,0,283.098,242.4359,0,0,0,0,31.45,10.01,0,60,0,0,4.056,0,0,849.9,5947.555,64.72,3404.4,39594.6385203591,1.392
Región de Los Lagos,Total Región,17582.9871,290679.9121999005,1149.6395999999,166.11,18493.4570000062,6.26,3365.749,6924.1630000023,58.5,143.01,772,81.66,710.8425,775.1888,36.1696,2303.02,2422.675,0,1.76,9.2,2,38.3164,19.0464,0.272,74.002,259.27,63.90000000000001,154.7812,35.376,0.009,2398.652,29253.6520000099,283.09,8226.744,231715.8839998821,617.7789999999
Región de Los Lagos,Puerto Montt,105.0087,5808.0159555753,4.204599999999999,0,315.253,0,6.395000000000001,263.807,1.603,0,1.0932475885,0,13.2453,20.5464,0.4216,6.555,125.333,0,0,0,0,2.0086,0.1574,0,0,0,0,1.7028,0.2,0,0.002,578.8985241166,0.28,75.1,4502.7273838702,1.9
Región de Los Lagos,Calbuco,99.757,2836.4405,13.219,0,8.225,0,3.57,468.704,6.785,0,0,0,23.829,190.7125,4.374,1.992,161.853,0,0,0,0,0.216,0.102,0,0,0.204,0,0.65,0.19,0,0,537.36,0.26,69.5,1469.09,1.8
Región de Los Lagos,Cochamó,44.5297,713.4590000000001,1.1865,0.5,2,0,8.71,47.345,0.76,0,0.5,0,7.1577,8.183,0.0265,2.162,70.371,0,0,2.7,0,0,0,0,0,0,0,0,0,0,2.5,52,0.4,23.5,530.36,0
Región de Los Lagos,Fresia,2025.1516101776,17009.307401872,49.0589807976,110,2212.3675595628,0,1177.7430452756,426.2219966575,0.5,0,18.6248153628,0,29.072,10.483,0.49,74.121,102.486,0,0,0,0,0.453,0,0,0,2.5,0,3.9,0,0,91.75,2174.564395641,0,538.112564902,12062.0596346479,48.0689807976
Región de Los Lagos,Frutillar,2455.963,27099.6461731392,239,1.5,2043.6889912152,0,223.07,306.8149834728,0,96,0,7,5.361,1.964,0,264.832,9.945,0,1,0,0,1.5,12,0,0,139.5,0,6.5,5.33,0,795.5,2868.93634424,136,1060.7,21711.4668542112,96
Región de Los Lagos,Los Muermos,374.946385076,30915.6798232375,4.85,0,1635.5083783008,0,196.604049978,1566.1999282464,1.25,0,133.5,0,18.4925,24.0746,0.1,12.26,115.044,0,0.25,0,2,0,0.1,0,0,0,0,0.1524,0.047,0,24,1816.4282793705,0.5,123.187435098,25624.7776373198,1
Región de Los Lagos,Llanquihue,1141.961,17426.1793910157,18.7,0,1311.7214995343,0,487.85,597.1429466048,0,0,70,0,5.841,3.65,0,52.92,10.05,0,0,0,0,0.5,0,0,24,112.2,18.7,0,0,0,113,1840.117859675,0,457.85,13481.2970852016,0
Región de Los Lagos,Maullín,154.332019494,8883.5865408497,7.6506,0,139.800344601,0,49.649819494,243.2984134275,0.75,0,0,4,15.7722,8.39,0.2006,6.91,58.16,0,0,0,0,0,0.005,0,0,0,0,1,0,0,31,1178.534450604,2.7,50,7255.3983322172,0
Región de Los Lagos,Puerto Varas,335.22055527,13051.7677939412,0,0,681.6340768853,0,203.76695527,301.1399108253,0,0,49.9067524115,0,15.9536,3.778,0,0.8,14.646,0,0,0,0,0,0,0,0,0,0,26.7,14.201,0,0,855.8603690581,0,88,11130.601684761,0
Región de Los Lagos,Castro,74.5841,1462.6710690265,10.0128,0,8.25,0.3,12.025,291.9214690265,5.96,0,0,0,7.2895,42.2276,0.7528,0.725,107.438,0,0,0,0,1.0066,0.36,0,0,0.004,0,0.038,0.2,0,0,129.325,2,53.5,882.9449999999999,1
Región de Los Lagos,Ancud,28.0261,7905.892387815,8.8827,0.01,13.159,0,2.815,142.618,0.278,0,0,0,18.9571,24.8883,1.0957,3.442,79.296,0,0.01,1,0,0.09,0.1,0,0,0,0,0.702,0,0.009,0,320.007,5,2,7324.824087815,2.5
Región de Los Lagos,Chonchi,29.9493,3623.5224,35.7245,0,0.95,0,2.001,255.676,0.529,0,0,0,16.3463,20.1724,1.1955,0.602,62.839,0,0,0,0,0,0.5,0,0,0.517,0,0,0,0,0,442.597,14,11,2840.271,20
Región de Los Lagos,Curaco de Vélez,0.4155,505.4655384615,14.05,0.1,2.6,0.25,0,97.4625384615,9.45,0,0,0,0.2955,5.303,0,0,10.72,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,2.125,0,0,387.255,4.35
Región de Los Lagos,Dalcahue,35.34739999999999,2829.760104697,3.9787,0,1.25,0,4.1,150.602992512,1.025,0,0,0,3.4374,17.5622,0.9537,1.69,37.308,0,0,0,0,0,0,0,0,0,0,0.25,0,0,5.5,1259.778,1.5,20.37,1363.258912185,0.5
Región de Los Lagos,Puqueldón,9.9262,442.1354,17.6376,0,2.5,0,1.02,174.733,5.73,0,0,0,8.4982,18.5624,0.7576,0.4,21.285,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,52.71,3.65,0,172.345,7.5
Región de Los Lagos,Queilén,11.083,600.524,8.785,0,0,0,0,76.095,3.375,0,0,0,5.983,25.258,0.41,0.1,24.05,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.25,0,4.5,474.871,5
Región de Los Lagos,Quellón,261.3344,2683.5668,4.2342,0,0,2,2,453.486,1.65,0,0,0.2,258.4294,39.5618,0.3842,0.2,178.114,0,0,0,0,0.005,0.25,0,0,0,0,0.7,0,0,0,335.565,0,0,1676.59,0
Región de Los Lagos,Quemchi,6.2567,3263.6384,7.220000000000001,0,0.508,0,1.25,231.117,2.14,0,0,0,4.8717,29.8364,0.08,0.01,123.729,0,0,0,0,0.003,0.206,0,0.002,0,0,0.12,1.5,0,0,224.219,5,0,2652.523,0
Región de Los Lagos,Quinchao,69.3851,637.8545,42.7858,0,8.862,0.25,31.78,250.885,8.665,0,0,0,23.5861,63.4375,20.6708,0.513,103.739,0,0,0,0,0.006,0.05200000000000001,0,0,0.2,0,0,4,0,1.5,98.199,12,12,108.48,1.2
Región de Los Lagos,Osorno,2261.5011621684,37999.290621204,3.8582302814,14,4381.120008646,0.1402174811,352.4438700176,126.453,1.2,0,197.6248153628,0.46,28.628,22.2816,0.6295000000000001,772.365,332.5665,0,0,0,0,4.45,0.5,0,0,4,0,107.5041,0.678,0,10.044539604,3297.1110826709,0.3595320027,972.0656525468,29636.9556145243,1.0689807976
Región de Los Lagos,Puerto Octay,276.593,33906.8667856646,13.63,0,402.681365576,0,65,30.241820768,0,0,0,0,0.8430000000000001,0.9830000000000001,0,41.85,3.7,0,0,0,0,2.5,1,0,0,0,0,0.4,0,0,0,3416.4727638242,10,166,30051.7878354964,3.63
Región de Los Lagos,Purranque,1133.5361206126,14169.0515154086,421.25,0,1302.6,0,311.3,95.8,0,0,69,70,8.43,4.55,0.25,515.7,2.75,0,0,0,0,0.8,0,0,0,0,0,0,0,0,38,1086.7028571435,37,259.3061206126,11607.6486582651,314
Región de Los Lagos,Puyehue,1437.5119926265,22486.9937296239,86.5562505162,0,302.7580586082,0.1717825189,18.05,9.95,0.25,0,57,0,6.685,3.3764,0.234,24.1,42.3232,0,0,0.25,0,23.5,0.25,0,0,0,0,0.7559,0,0,294.1,2985.4671471396,0.4404679973,1070.3210926265,19085.6189238761,85.46
Región de Los Lagos,Río Negro,3269.0208545749,16064.4191023066,55.4150384047,0,966.1462778812,0,183.1622599648,141.3430232558,2,17,16.7503692744,0,41.266,7.1115,0.881,339.012,278.9734,0,0,0,0,0.318,3.11,0.272,50,0,45.2,3.7,0,0,143.955460396,1659.3772738639,7,2490.6071342141,12991.6072580313,0.0620384047
Región de Los Lagos,San Juan de La Costa,35.1107,810.9387906978001,12.41,0,83.4,2.5,2.8,102.9369767442,3.3,0,0,0,25.7345,83.242,0.61,4.5,92.764,0,0,0,0,0.0762,0.1,0,0,0,0,0,0,0,1,161.5058139536,6,1,286.99,0
Región de Los Lagos,San Pablo,1730.031,14140.8814627044,34.87900000000001,33,2618.1734391954,0.25,9.075,20.225,1.25,30,158,0,95.517,60.8492,1.64,168.712,176.8269,0,0.5,5.25,0,0.351,0.25,0,0,0,0,0.006,9.03,0,835.2,1711.299838709,9,557.67,9380.9770848,22.739
Región de Los Lagos,Chaitén,5.649,2043.025,0.398,0,1,0.398,2.1,18.04,0,0,0,0,3.049,5.96,0,0.5,6.355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.54,0,0,1885.13,0
Región de Los Lagos,Futaleufú,22.3128,549.9000000000001,30,0,24.7,0,1.25,2.5,0,0,0,0,3.5628,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,2.5,30,8,518.2,0
Región de Los Lagos,Hualaihué,48.128,278.75001266,0.0621,0,0.6,0,3.468,29.125,0.05,0.01,0,0,12.544,26.474,0.0121,3.547,43.875,0,0,0,0,0.005,0.004,0,0,0.145,0,0,0,0,0.1,6.7,0,28.454,171.82701266,0
Región de Los Lagos,Palena,100.4147,530.682,0,7,22,0,2.75,2.277,0,0,0,0,2.1647,0.77,0,0.5,25.135,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32.5,0,84,448,0
Región de Aysén del General Carlos Ibáñez del Campo,Total Región,2819.0227,34237.0631,1215.6667,7.5,199.7,0,50.683,104.733,0.25,0.125,0,0,100.2967,16.2592,2.6317,289.662,41.948,0,3.12,0,0,6.236,0.005,0,6.79,44.6549,1.245,3.85,3.35,0,1235.69,10008.485,1205.5,1115.07,23817.928,6.04
Región de Aysén del General Carlos Ibáñez del Campo,Coyhaique,1186.002082056,22249.0175743705,197.1921,0,136.7,0,10.005,85.535,0,0.125,0,0,31.3442,9.0827,0.8471,20.097,15.162,0,0,0,0,5.504,0.005,0,2.5,23.6549,1.245,1,0.25,0,595.106882056,8694.83220514,190,520.32,13283.7957692305,5.1
Región de Aysén del General Carlos Ibáñez del Campo,Lago Verde,82.71,1542.5,0,0,0,0,0.3,0.5,0,0,0,0,1.6,0.25,0,0.81,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.2,0,80,1328.5,0
Región de Aysén del General Carlos Ibáñez del Campo,Aysén,85.097717944,5620.219025629501,2.2906,0,28,0,1.25,6.774,0,0,0,0,3.8846,2.673,0.8506,0.5,2.55,0,0,0,0,0.07,0,0,0,7,0,2.5,3.1,0,56.893117944,680.65279486,0.5,20,4889.4692307695,0.94
Región de Aysén del General Carlos Ibáñez del Campo,Cisnes/Guaitecas,15.1765,2536.21,0.35,0,28.5,0,0,5.2,0.25,0,0,0,10.4365,1.37,0.1,0.25,9.45,0,0,0,0,0,0,0,0.25,0,0,0.24,0,0,0,144.5,0,4,2347.19,0
Región de Aysén del General Carlos Ibáñez del Campo,Cochrane,237.304,475.4575,1000.724,5.5,2.5,0,2.385,0.862,0,0,0,0,13.404,0.2185,0.724,4.425,3.927,0,0,0,0,0,0,0,4.04,14,0,0,0,0,38.55,83.95,1000,169,370,0
Región de Aysén del General Carlos Ibáñez del Campo,Tortel/O'Higgins,5.4113,312.587,0.1,0,0,0,0.5,0.062,0,0,0,0,0.9613,0.025,0.1,1.62,0,0,0.3,0,0,0.03,0,0,0,0,0,0,0,0,2,0.5,0,0,312,0
Región de Aysén del General Carlos Ibáñez del Campo,Chile Chico,753.7981,329.21,5.01,2,4,0,22.83,0,0,0,0,0,30.0311,0.2,0.01,249.495,2.71,0,2.82,0,0,0.632,0,0,0,0,0,0.01,0,0,365.23,82.3,5,80.75,240,0
Región de Aysén del General Carlos Ibáñez del Campo,Río Ibáñez,453.523,1171.862,10,0,0,0,13.413,5.8,0,0,0,0,8.635,2.44,0,12.465,8.099,0,0,0,0,0,0,0,0,0,0,0.1,0,0,177.91,108.55,10,241,1046.973,0
Región de Magallanes y de la Antártica Chilena,Total Región,3702.2248,19341.537,716.9244000000001,0.2,90.6,0,14.115,29.966,7.251,0.058,0,0.25,26.5338,1.905,0.6234,6.016,0.276,0,0,0,0,1.203,0,0,0,0,0,12.099,6,2,1406.5,8607.79,700.1,2235.5,10605,6.7
Región de Magallanes y de la Antártica Chilena,Punta Arenas,162.1495,2317.488,11.801,0.2,8.6,0,6.696,9.679,7.251,0,0,0.25,13.9215,1.438,0.6,4.289,0.271,0,0,0,0,1.203,0,0,0,0,0,10.34,6,1,2.5,857.5,0,123,1434,2.7
Región de Magallanes y de la Antártica Chilena,Laguna Blanca,745.7603859999999,631.2254354482,491.2280702,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,350.877193,440.1010524278,491.2280702,390.877193,191.1243830204,0
Región de Magallanes y de la Antártica Chilena,Río Verde,2400.245614,2269,208.7719298,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,949.122807,95,208.7719298,1451.122807,2173,0
Región de Magallanes y de la Antártica Chilena,San Gregorio,0.02,1278.7745645518,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458.8989475722,0,0,819.8756169796,0
Región de Magallanes y de la Antártica Chilena,Cabo de Hornos,0.8690000000000001,0.151,0,0,0,0,0.048,0.132,0,0,0,0,0.798,0.014,0,0.02,0.005,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0
Región de Magallanes y de la Antártica Chilena,Porvenir,39.16,7094.9890977001,0.0006,0,27.5,0,1.187,7.239,0,0,0,0,3.943,0.202,0.0006,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,3640.2573926851,0,0,3419.790705015,0
Región de Magallanes y de la Antártica Chilena,Primavera,190.5,1358.2399556627,4.1,0,9.5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,431.0306606777,0.1,150.5,907.709294985,4
Región de Magallanes y de la Antártica Chilena,Timaukel,0,1186.2719466372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275.2719466372,0,0,911,0
Región de Magallanes y de la Antártica Chilena,Natales,163.5203,819.077438495,1.0228,0,0,0,2.184,1.916,0,0.058,0,0,7.8513,0.251,0.0228,1.677,0,0,0,0,0,0,0,0,0,0,0,1.75,0,1,30,267.410438495,0,120,549.5,0
Región de Magallanes y de la Antártica Chilena,Torres del Paine,0,2386.319561505,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2142.319561505,0,0,199,0
