0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
"","",categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo
total_nacional_región,"comuna_6,_7,_8",total,total,cereales,cereales,leguminosas_y_tubérculos,leguminosas_y_tubérculos,cultivos_industriales,cultivos_industriales,"hortalizas,_hongos,_aromáticas,","hortalizas,_hongos,_aromáticas,",frutales,frutales,vides_para_vinificación_y_uvas_p,vides_para_vinificación_y_uvas_p,flores_de_corte,flores_de_corte,semilleros,semilleros,viveros_y_césped_alfombra,viveros_y_césped_alfombra,forrajeras,forrajeras,plantaciones_forestales,plantaciones_forestales,bosque_nativo,bosque_nativo,praderas_mejoradas,praderas_mejoradas,praderas_naturales,praderas_naturales,terrenos_productivos_no_trabajad,terrenos_productivos_no_trabajad,matorrales,matorrales,terrenos_no_productivos,terrenos_no_productivos,infraestructura,infraestructura
total_nacional_región,"comuna_6,_7,_8",número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha)
región_de_coquimbo,illapel,500.0,182395.8540000001,10.0,8.3,24.0,12.215,0.0,0.0,131.0,73.93490909091,331.0,1480.01281818185,40.0,104.227,2.0,0.017,0.0,0.0,4.0,14.915,120.0,88.888,58.0,55.785,64.0,2315.28,20.0,36.725,146.0,36756.489,332.0,2488.14072727274,18.0,75098.265,139.0,63607.891,448.0,254.76854545455
región_de_coquimbo,canela,799.0,100409.035,84.0,138.979,187.0,63.15,0.0,0.0,326.0,127.22,425.0,281.63,2.0,2.01,3.0,0.79,1.0,1.2,0.0,0.0,285.0,506.502,113.0,6702.716,31.0,2477.749,19.0,23.655,400.0,15848.235,464.0,3504.146,40.0,64069.49,66.0,6252.506,426.0,409.057
región_de_coquimbo,los_vilos,310.0,78586.89,3.0,2.05,13.0,4.56,0.0,0.0,64.0,19.121,180.0,331.558,0.0,0.0,1.0,0.1,1.0,1.2,9.0,8.275,47.0,79.37,8.0,2677.85,69.0,9683.04,2.0,100.0,50.0,13130.17,196.0,2824.124,56.0,41479.093,64.0,8046.516,170.0,199.863
región_de_coquimbo,salamanca,805.0,185730.768,13.0,10.28,21.0,10.59,0.0,0.0,117.0,60.263,483.0,1366.767,303.0,1060.624,4.0,0.434,0.0,0.0,2.0,1.03,196.0,188.496,16.0,5.67,26.0,44.288,25.0,39.955,79.0,522.837,506.0,2015.529,23.0,146738.23,133.0,33282.969,494.0,382.806
región_de_coquimbo,ovalle,1101.0,109956.219,46.0,87.352,45.0,65.667,0.0,0.0,312.0,1555.3,462.0,9298.725,163.0,2889.75,15.0,26.99,11.0,71.714,4.0,5.8,223.0,609.85,55.0,1497.5,9.0,856.25,0.0,0.0,153.0,10949.8,489.0,6487.219,55.0,40901.52,318.0,33189.706,808.0,1463.076
región_de_coquimbo,combarbalá,669.0,110660.607,29.0,101.726,8.0,2.226,0.0,0.0,121.0,29.43,402.0,563.667,4.0,5.7,10.0,2.084,0.0,0.0,3.0,0.8,121.0,169.823,21.0,201.749,158.0,11577.275,6.0,10.2,107.0,18116.68,461.0,3023.841,121.0,62375.65,152.0,13115.367,585.0,1364.389
región_de_coquimbo,monte_patria,482.0,146232.86,1.0,0.3,7.0,3.95,0.0,0.0,46.0,59.18,328.0,5176.604,112.0,328.895,1.0,0.006,0.0,0.0,1.0,1.0,41.0,87.295,2.0,6.3,7.0,2641.2,4.0,31.1,15.0,90331.51,221.0,3443.447,18.0,15956.19,78.0,27217.81,299.0,948.073
región_de_coquimbo,punitaqui,621.0,41386.563,7.0,15.25,17.0,12.0,4.0,3.75,77.0,41.0,423.0,1096.97,50.0,1188.4,1.0,0.48,0.0,0.0,0.0,0.0,124.0,100.55,12.0,132.1,82.0,1456.2,4.0,45.1,20.0,3082.665,316.0,2524.502,204.0,13943.855,190.0,17258.88,529.0,484.861
región_de_coquimbo,río_hurtado,228.0,78713.267,5.0,1.39,6.0,13.6,0.0,0.0,12.0,8.22,142.0,264.914,75.0,171.939,3.0,0.065,0.0,0.0,0.0,0.0,77.0,282.716,5.0,1.9,3.0,18.45,0.0,0.0,8.0,20020.97,143.0,1290.342,15.0,1539.72,108.0,54985.537,182.0,113.504
región_de_valparaíso,total_región,5484.0,645112.9467,219.0,2540.165,240.0,501.6,17.0,109.8,1407.0,3560.1244,2818.0,45363.849,114.0,7899.9,469.0,422.4603,35.0,144.939,240.0,333.889,846.0,6939.181,294.0,24611.155,466.0,168680.023,51.0,2679.1,613.0,127277.805,1897.0,65694.245,260.0,86248.069,1121.0,91776.427,4070.0,10330.215
