0,1,2,3,4,5,6,7,8,9,10
total_nacional_región,"comuna6,_7",especie,total,total,total,total,total,total,total,total
total_nacional_región,"comuna6,_7",especie,"número_de_upa8,9",superficie_(ha),superficie_(ha),superficie_(ha),superficie_(ha),estado_desarrollo_(ha),estado_desarrollo_(ha),estado_desarrollo_(ha)
total_nacional_región,"comuna6,_7",especie,"número_de_upa8,9",superficie_(ha),en_riego,en_secano,sin_clasificar_10,en_formación_11,en_producción_12,sin_clasificar_10
región_de_arica_y_parinacota,camarones,membrillo,16.0,3.483,3.483,0.0,0.0,0.16,3.323,0.0
región_de_arica_y_parinacota,camarones,"moras,_murta_y_zarzaparrila",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,camarones,naranjo,15.0,6.301,6.301,0.0,0.0,2.052,4.249,0.0
región_de_arica_y_parinacota,camarones,nectarino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,camarones,nogal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,camarones,olivo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,camarones,palto,14.0,3.831,3.831,0.0,0.0,0.681,3.15,0.0
región_de_arica_y_parinacota,camarones,papayo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,camarones,pera,10.0,3.82,3.82,0.0,0.0,0.0,3.82,0.0
región_de_arica_y_parinacota,camarones,pistacho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,camarones,pomelo,1.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0
región_de_arica_y_parinacota,camarones,rosa_mosqueta_(cultivada),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,camarones,tuna,9.0,6.42,6.42,0.0,0.0,1.5,4.92,0.0
región_de_arica_y_parinacota,camarones,uva_de_mesa,2.0,0.75,0.75,0.0,0.0,0.0,0.75,0.0
región_de_arica_y_parinacota,camarones,otros_frutales,18.0,12.064,12.064,0.0,0.0,0.5,11.564,0.0
región_de_arica_y_parinacota,camarones,quinta_frutal,1.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0
región_de_arica_y_parinacota,putre,total,17.0,5.29,5.29,0.0,0.0,0.32,4.97,0.0
región_de_arica_y_parinacota,putre,sin_clasificar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,putre,almendro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,putre,berries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,putre,avellano_europeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,putre,castaño,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,putre,cerezo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,putre,chirimoyo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,putre,ciruelo_europeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,putre,ciruelo_japonés,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,putre,clementina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,putre,damasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,putre,duraznero_(consumo_fresco),1.0,0.01,0.01,0.0,0.0,0.0,0.01,0.0
región_de_arica_y_parinacota,putre,duraznero_(tipo_conservero),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,putre,granado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,putre,higuera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,putre,kiwi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,putre,lima_(o_limón_sutil),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,putre,limón_de_pica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,putre,limonero,2.0,0.13,0.13,0.0,0.0,0.005,0.125,0.0
región_de_arica_y_parinacota,putre,mandarina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,putre,mango,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,putre,manzana,5.0,0.608,0.608,0.0,0.0,0.015,0.593,0.0
región_de_arica_y_parinacota,putre,membrillo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,putre,"moras,_murta_y_zarzaparrila",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,putre,naranjo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,putre,nectarino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,putre,nogal,1.0,0.01,0.01,0.0,0.0,0.0,0.01,0.0
